#  E (eV)   dos(E)     Int dos(E) EFermi =    6.477 eV
  -4.517  0.3974E+00  0.3071E+00
  -4.507  0.3992E+00  0.3111E+00
  -4.497  0.4011E+00  0.3151E+00
  -4.487  0.4028E+00  0.3191E+00
  -4.477  0.4044E+00  0.3232E+00
  -4.467  0.4062E+00  0.3272E+00
  -4.457  0.4082E+00  0.3313E+00
  -4.447  0.4104E+00  0.3354E+00
  -4.437  0.4128E+00  0.3395E+00
  -4.427  0.4153E+00  0.3436E+00
  -4.417  0.4178E+00  0.3478E+00
  -4.407  0.4204E+00  0.3520E+00
  -4.397  0.4231E+00  0.3562E+00
  -4.387  0.4258E+00  0.3605E+00
  -4.377  0.4286E+00  0.3647E+00
  -4.367  0.4314E+00  0.3690E+00
  -4.357  0.4343E+00  0.3734E+00
  -4.347  0.4372E+00  0.3777E+00
  -4.337  0.4402E+00  0.3821E+00
  -4.327  0.4432E+00  0.3865E+00
  -4.317  0.4462E+00  0.3910E+00
  -4.307  0.4493E+00  0.3954E+00
  -4.297  0.4523E+00  0.4000E+00
  -4.287  0.4555E+00  0.4045E+00
  -4.277  0.4586E+00  0.4091E+00
  -4.267  0.4618E+00  0.4137E+00
  -4.257  0.4649E+00  0.4183E+00
  -4.247  0.4673E+00  0.4230E+00
  -4.237  0.4691E+00  0.4276E+00
  -4.227  0.4706E+00  0.4323E+00
  -4.217  0.4717E+00  0.4371E+00
  -4.207  0.4737E+00  0.4418E+00
  -4.197  0.4756E+00  0.4465E+00
  -4.187  0.4774E+00  0.4513E+00
  -4.177  0.4792E+00  0.4561E+00
  -4.167  0.4809E+00  0.4609E+00
  -4.157  0.4826E+00  0.4657E+00
  -4.147  0.4842E+00  0.4705E+00
  -4.137  0.4857E+00  0.4754E+00
  -4.127  0.4872E+00  0.4802E+00
  -4.117  0.4888E+00  0.4851E+00
  -4.107  0.4907E+00  0.4900E+00
  -4.097  0.4930E+00  0.4949E+00
  -4.087  0.4955E+00  0.4999E+00
  -4.077  0.4982E+00  0.5048E+00
  -4.067  0.5013E+00  0.5098E+00
  -4.057  0.5040E+00  0.5149E+00
  -4.047  0.5066E+00  0.5199E+00
  -4.037  0.5092E+00  0.5250E+00
  -4.027  0.5119E+00  0.5301E+00
  -4.017  0.5146E+00  0.5352E+00
  -4.007  0.5173E+00  0.5404E+00
  -3.997  0.5200E+00  0.5456E+00
  -3.987  0.5228E+00  0.5508E+00
  -3.977  0.5255E+00  0.5560E+00
  -3.967  0.5283E+00  0.5613E+00
  -3.957  0.5311E+00  0.5666E+00
  -3.947  0.5339E+00  0.5719E+00
  -3.937  0.5367E+00  0.5773E+00
  -3.927  0.5396E+00  0.5827E+00
  -3.917  0.5424E+00  0.5881E+00
  -3.907  0.5453E+00  0.5935E+00
  -3.897  0.5482E+00  0.5990E+00
  -3.887  0.5511E+00  0.6045E+00
  -3.877  0.5540E+00  0.6100E+00
  -3.867  0.5569E+00  0.6156E+00
  -3.857  0.5598E+00  0.6211E+00
  -3.847  0.5628E+00  0.6268E+00
